timestamp,lacc_x,lacc_y,lacc_z
3935076,1,-3,0
3935086,-1,-5,-5
3935096,-2,-4,-1
3935106,0,-8,-2
3935116,0,-7,-1
3935127,-4,-8,0
3935136,-4,-8,0
3935147,19,-2,-23
3935156,-2,-10,16
3935166,19,-1,-30
3935176,-22,-15,22
3935186,-3,-6,-8
3935196,-9,-9,14
3935206,9,0,-15
3935216,-10,-5,1
3935226,-10,-7,3
3935236,-7,-7,-4
3935246,-2,-5,-7
3935256,-8,-6,8
3935266,0,-5,1
3935276,-1,-4,-1
3935286,0,-4,-9
3935296,0,-3,-4
3935306,-1,-3,-2
3935316,0,-4,0
3935326,-3,-5,4
3935337,38,3,17
3935346,-34,-22,-6
3935356,23,2,0
3935366,-12,-6,-16
3935376,10,1,-40
3935386,-10,-9,25
3935396,1,-5,-14
3935406,-10,-8,0
3935416,9,0,8
3935426,3,-1,-19
3935436,-4,-10,15
3935446,-7,-7,4
3935456,1,-2,-1
3935466,3,-2,-10
3935476,2,-5,-6
3935487,-1,-4,-1
3935496,-3,-4,0
3935506,2,-2,-5
3935516,3,-4,-1
3935526,-21,-12,0
3935536,-2,-1,2
3935546,3,-3,-16
3935556,16,1,-6
3935566,10,-1,-3
3935576,2,-6,3
3935586,-2,-4,0
3935596,-13,-12,4
3935606,1,-1,-21
3935616,-11,-9,20
3935626,-1,-5,-5
3935636,-12,-8,9
3935646,9,0,-15
3935656,4,-5,1
3935666,4,-3,-7
3935676,-5,-6,5
3935686,0,-4,-8
3935696,0,-6,1
3935706,3,-4,-7
3935716,-2,-6,1
3935726,2,-4,-3
3935736,-1,-6,0
3935746,1,-6,-4
3935756,0,-4,0
3935766,0,-2,-3
3935776,-1,-6,0
3935786,0,-5,-5
3935796,-2,-7,-3
3935806,0,-3,-2
3935816,-1,-4,0
3935826,0,-5,-5
3935836,0,-3,-3
3935846,-1,-5,-1
3935856,0,-4,-1
3935866,0,-2,-1
3935876,0,-7,-2
3935886,0,-5,-2
3935896,-1,-5,-2
3935906,0,-5,-1
3935916,0,-6,-1
3935926,0,-6,0
3935936,0,-3,-4
